;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Hóspedes não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Non-resident guests in tourist accommodation establishments, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Espanha;Alemanha;França;Países Baixos;EUA;Itália;Brasil;Polónia;Bélgica;Irlanda;Suíça;Dinamarca;Suécia;Áustria;Chéquia;Roménia;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.614.025;239.216;246.157;132.384;154.723;73.618;89.909;72.872;96.631;47.487;49.930;45.905;38.756;20.921;19.590;16.202;8.248;8.351;253.125;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.767.644;229.094;343.074;146.897;237.195;78.632;75.091;131.270;78.017;39.741;36.072;42.661;28.504;11.705;13.077;16.329;6.559;9.771;243.955;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.689.649;259.716;185.457;198.073;187.067;70.050;105.836;65.318;101.581;46.662;36.939;45.882;34.045;15.777;17.609;16.897;10.240;8.313;284.187;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;1.507.636;219.897;152.346;186.900;153.246;57.042;101.422;54.335;109.689;33.372;25.336;36.993;36.351;16.048;22.143;13.878;6.354;6.434;275.850;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;833.247;90.321;107.315;98.383;79.979;29.110;50.508;37.534;72.107;16.113;16.500;13.084;15.688;8.526;17.252;6.674;3.931;5.172;165.050;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;652.118;62.206;142.405;54.865;58.295;21.008;31.793;33.714;59.560;8.682;9.514;6.391;11.638;6.282;9.957;4.093;1.899;3.991;125.825;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;15.227.164;2.029.601;2.065.861;1.582.550;1.626.311;607.041;980.120;664.780;1.103.015;283.180;325.638;357.269;300.441;141.518;189.093;140.499;66.032;72.842;2.691.373;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;624.260;67.058;78.677;55.234;60.412;23.303;27.717;31.541;82.224;11.815;9.835;7.875;9.139;7.273;10.026;3.802;1.783;3.468;133.078;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;704.233;89.030;98.912;73.442;70.562;28.668;30.721;28.383;63.624;12.255;13.800;9.740;12.646;9.317;10.394;5.990;2.552;3.871;140.326;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;1.049.180;126.586;190.164;136.750;100.454;34.812;58.127;41.253;65.536;13.339;17.885;16.240;18.882;14.371;17.705;10.518;3.948;6.053;176.557;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;1.313.134;187.072;144.356;152.072;149.826;53.138;77.335;56.750;89.324;22.897;32.541;30.175;30.726;13.776;19.957;15.171;5.005;5.954;227.059;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.597.976;232.436;139.757;184.203;206.307;74.622;112.554;53.415;118.812;29.042;34.725;46.387;31.773;11.053;16.735;17.540;7.381;6.565;274.669;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.557.569;243.282;163.132;162.188;170.718;67.259;115.865;56.841;105.248;33.387;34.011;51.367;31.089;9.564;13.923;15.094;7.664;7.425;269.512;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.669.264;227.375;242.121;136.787;151.986;72.973;118.181;68.054;115.398;39.209;50.639;47.496;39.417;19.872;19.354;16.352;9.014;7.878;287.158;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.847.828;216.203;372.149;145.612;243.787;76.510;97.902;137.449;90.935;35.055;40.876;42.267;28.917;11.342;12.157;15.883;7.789;8.677;264.318;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.734.429;248.233;197.693;205.149;181.020;68.904;123.069;65.084;112.065;36.939;38.459;47.689;35.191;16.352;17.210;16.004;9.533;8.259;307.576;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;1.533.971;218.893;170.788;180.814;156.359;56.099;116.281;51.614;109.243;28.001;26.664;36.455;34.519;13.857;23.564;13.703;6.246;6.400;284.471;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;893.742;102.918;126.840;91.768;76.130;30.372;64.526;38.333;80.729;12.958;16.012;13.560;16.203;8.597;17.753;6.431;3.335;4.749;182.528;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;701.578;70.515;141.272;58.531;58.750;20.381;37.842;36.063;69.877;8.283;10.191;8.018;11.939;6.144;10.315;4.011;1.782;3.543;144.121;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;16.410.114;2.145.902;2.285.829;1.541.398;1.623.207;598.375;1.202.247;722.115;1.281.675;277.616;325.799;413.733;304.867;144.490;183.717;151.055;63.591;73.743;3.070.755;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;686.619;72.815;87.434;57.510;60.688;22.433;35.544;35.651;90.274;10.952;10.539;9.791;10.028;8.013;10.216;4.174;1.631;3.247;155.679;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;763.466;97.015;106.523;72.826;74.718;28.894;39.674;34.164;59.958;11.898;12.675;12.351;11.302;9.993;11.300;5.933;2.521;3.769;167.952;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;1.070.865;133.747;150.425;128.235;98.581;39.084;70.901;48.461;85.233;13.339;19.397;16.376;18.274;14.487;17.002;8.164;3.244;4.784;201.131;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;1.452.570;192.173;218.390;150.561;151.471;50.945;91.963;63.134;98.660;20.615;30.890;36.271;30.123;13.901;20.539;15.893;4.398;6.384;256.259;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.726.237;250.900;171.639;168.215;202.105;70.870;135.605;63.047;131.258;30.342;35.097;51.801;33.899;10.946;15.394;20.331;8.560;7.384;318.844;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.686.094;257.064;184.644;164.225;163.939;65.232;140.690;59.439;130.520;33.067;34.484;54.314;34.153;9.589;13.049;17.627;7.264;7.689;309.105;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.779.956;233.307;272.314;137.005;155.355;70.053;138.542;75.310;140.205;35.269;49.620;56.564;39.811;19.407;17.903;16.441;8.277;7.583;306.990;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
