;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Dormidas de não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Overnight stays in tourist accommodation establishments by non-residents, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Alemanha;Espanha;França;Países Baixos;Brasil;Itália;EUA;Bélgica;Suiça;Polónia;Canadá;Suécia;Irlanda;Dinamarca;Rússia;China;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;1 926 682;279 825;240 200;314 549;155 612;94 774;147 614;86 775;77 382;28 274;32 581;32 483;17 719;42 727;22 279;28 299;21 182;32 287;272 120;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;47 249 425;9 240 255;6 300 652;4 862 261;4 614 409;2 531 261;2 583 576;1 594 740;2 235 357;1 049 920;885 278;947 936;896 349;763 522;1 634 852;579 949;461 879;518 394;5 548 835;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;1 951 157;322 411;256 333;158 268;163 480;121 711;203 587;80 433;68 771;28 467;27 400;41 116;23 144;45 754;29 368;41 313;34 662;26 441;278 498;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;2 282 829;412 076;339 631;206 755;197 706;152 273;156 119;73 667;74 740;41 327;39 612;45 266;57 324;51 998;33 899;46 905;20 301;48 123;285 107;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;3 286 719;557 178;543 726;440 663;273 694;163 151;152 853;104 011;133 859;56 014;55 848;48 731;91 092;87 347;57 794;68 534;34 180;33 180;384 864;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;3 937 840;777 566;560 988;309 475;438 352;203 126;202 448;133 746;170 643;110 973;90 128;66 197;64 752;79 974;118 114;57 432;45 882;44 046;463 998;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;4 815 300;1 018 806;682 839;293 648;586 490;293 752;264 323;123 304;249 887;112 740;90 306;82 921;82 158;54 912;216 319;39 130;38 194;54 840;530 731;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;4 828 906;1 107 355;622 578;371 676;476 869;264 005;240 972;130 643;252 586;110 604;86 861;114 686;80 090;48 236;260 285;34 317;36 486;52 952;537 705;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;5 546 530;1 082 789;588 627;635 517;475 414;304 818;282 014;161 522;290 127;184 505;126 423;139 927;125 683;65 320;263 640;78 561;47 824;47 174;646 645;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;5 997 806;1 098 230;588 978;1 042 129;748 674;328 689;213 441;325 941;230 365;130 673;85 465;129 933;87 736;40 219;209 396;43 961;60 997;40 768;592 211;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;5 227 118;1 125 367;759 867;458 333;487 048;266 183;255 600;149 717;265 911;118 732;100 782;118 132;119 504;52 880;212 147;54 151;52 439;43 174;587 151;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;4 687 054;1 005 008;712 780;374 175;423 871;224 203;246 140;124 917;254 091;80 602;104 004;87 144;97 090;95 772;157 135;49 943;41 424;52 005;556 750;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;2 650 761;425 484;389 613;270 747;189 591;119 156;194 778;95 708;150 918;45 167;45 208;41 710;45 052;94 541;48 461;37 925;29 256;38 301;389 145;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;2 037 405;307 985;254 692;300 875;153 220;90 194;171 301;91 131;93 459;30 116;33 241;32 173;22 724;46 569;28 294;27 777;20 234;37 390;296 030;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;49 051 832;9 367 272;5 919 635;5 250 340;4 595 393;2 369 179;2 960 884;1 705 193;2 713 437;1 037 790;881 948;959 925;984 850;729 643;1 798 415;571 572;493 722;605 999;6 106 635;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;2 068 387;340 670;258 921;170 467;159 408;116 370;221 694;89 079;88 306;30 487;27 526;40 721;26 975;46 646;33 615;41 721;33 493;36 825;305 463;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;2 327 520;425 387;305 538;202 172;205 394;144 830;144 655;85 704;100 396;34 759;32 639;42 668;64 159;55 382;40 431;48 521;19 802;54 852;320 231;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;3 250 374;560 460;510 748;312 244;268 786;168 720;202 813;122 207;163 102;58 406;52 503;48 318;100 038;85 318;56 860;65 966;34 093;40 287;399 505;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;4 298 427;803 341;547 261;497 813;448 317;190 462;227 872;149 182;206 595;101 293;89 266;62 966;84 425;81 800;142 640;58 051;37 896;50 373;518 874;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
